time sec,time nanosec,position X,position Y,position Z,orientation X,orientation Y,orientation Z,orientation W
1714371906.249258,485,550025323,-12.138492872624784,1.7427236661478853,0.019215795108697968,0.0010184954365053094,8.479215242459454e-06,0.6473687140752883,0.7621762989175511
1714371906.3672562,485,566691990,-12.137352303208393,1.7497574949701387,0.01921425714941444,0.0010194474058932907,7.707622895502914e-06,0.6480505896801388,0.7615966083713895
1714371906.4671187,485,583358658,-12.136223178438888,1.7567922774275357,0.01921237968002847,0.001019564224731403,6.737035073104807e-06,0.6487331811991881,0.761015256124728
1714371906.5725565,485,600025326,-12.135108359007,1.7638284903474628,0.019210375845848573,0.00102181059510856,7.7333062271584e-06,0.6494203009784926,0.7604289766443069
1714371906.6784081,485,616691993,-12.13400879839876,1.770866610563825,0.019208366365764253,0.0010224179182632962,8.544111126899198e-06,0.650110402282186,0.7598390746948284
1714371906.7718604,485,633358661,-12.132917820525684,1.7779068765180546,0.01920657908956602,0.0010236139984764164,7.63618926463845e-06,0.6508013971866873,0.7592473204272285
1714371906.8756063,485,650025328,-12.13186308076902,1.7848093364096456,0.019205475042484117,0.0010229099289923544,9.14338159953313e-06,0.6514949565900867,0.7586522754921102
1714371906.9755993,485,666691996,-12.130850303861068,1.7915062793424246,0.019203215546164606,0.0010248667539906778,8.783172780657024e-06,0.65218326868274,0.7580606398048177
1714371907.0728054,485,683358663,-12.129873764593638,1.7980642241196916,0.019201937301893297,0.001025878252555065,7.784245018989874e-06,0.6528616871622936,0.7574764451445469
1714371907.1895144,485,700025331,-12.128920112308084,1.8045275166428023,0.019201231739987216,0.001027275396259485,6.0468623852423555e-06,0.6535347409230123,0.7568958231324749
1714371907.2852986,485,716691998,-12.127989351410392,1.8109290586754718,0.019198386850259253,0.0010288347708905547,7.557463129481432e-06,0.6541964696841123,0.7563239520831953
1714371907.3870385,485,733358666,-12.127076705865024,1.8172886389764376,0.01919828265719427,0.0010298064439883264,4.804067394601011e-06,0.6548604042781138,0.7557491583748633
1714371907.4858544,485,750025333,-12.126177415608659,1.8236196090020556,0.019195696211087975,0.001031258798533154,6.223281565659221e-06,0.6555171859407365,0.7551795517642803
